,train_loss,train_accuracy,test_loss,test_accuracy
0,0.8076435166791853,0.7158109404990403,0.932211550089498,0.6802116613418531
1,0.8061179750177697,0.7166706653870761,0.950064510678331,0.6740215654952076
2,0.8035169557089693,0.717530390275112,0.9291571823362345,0.6741214057507987
3,0.802769836770062,0.7190299104286628,0.9448557477503919,0.6769169329073482
4,0.8008880493965808,0.7174304222648752,0.927330985903359,0.6791134185303515
5,0.8017163687383831,0.7181501919385797,0.9642583126553331,0.6685303514376997
6,0.8011550987598153,0.7192098528470889,0.9230062152726201,0.6802116613418531
7,0.7999926172840389,0.7191698656429942,0.937458231283453,0.6788138977635783
8,0.7982996785709359,0.7163107805502239,0.9595652474477269,0.669129392971246
9,0.7991973527219154,0.7214291426743442,0.9305399119758758,0.6796126198083067
10,0.793986105796853,0.7223088611644274,0.9252879476775757,0.6800119808306709
11,0.7965571935445318,0.7209293026231606,0.9340769681401146,0.6834065495207667
12,0.7955147077925908,0.7215890914907229,0.9335950828684024,0.6753194888178914
13,0.7946031826738357,0.7214091490722969,0.9292051791192625,0.6769169329073482
14,0.7938817007680468,0.7234085092770314,0.926490629490572,0.6809105431309904
15,0.7928669109072963,0.7233685220729367,0.9357638984394911,0.6758186900958466
16,0.7914210630012336,0.7231685860524633,0.9106957249271984,0.6843051118210862
17,0.7941038770242448,0.7213891554702495,0.9375337143294727,0.6815095846645367
18,0.7888895918830267,0.7236884197056942,0.9220751648703323,0.6815095846645367
19,0.790327306557983,0.7235684580934101,0.92802258630911,0.6790135782747604
